tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Hydroelectricity,NLD,Netherlands,TWh,1965,2000,2021,pre_saturation,national,regional_csv
Hydroelectricity,MKD,North Macedonia,TWh,1965,2010,2021,pre_saturation,national,regional_csv
Hydroelectricity,NOR,Norway,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,POL,Poland,TWh,1965,2010,2021,pre_saturation,national,regional_csv
Hydroelectricity,PRT,Portugal,TWh,1965,2010,2021,pre_saturation,national,regional_csv
Hydroelectricity,ROU,Romania,TWh,1965,2005,2021,pre_saturation,national,regional_csv
Hydroelectricity,SVK,Slovakia,TWh,1965,2002,2021,pre_saturation,national,regional_csv
Hydroelectricity,SVN,Slovenia,TWh,1965,2014,2021,pre_saturation,national,regional_csv
Renewable Power,SWE,Sweden,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,MEX,Mexico,TWh,1965,2008,2021,pre_saturation,national,regional_csv
Renewable Power,SVN,Slovenia,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,HUN,Hungary,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,POL,Poland,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,LUX,Luxembourg,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,LTU,Lithuania,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,LVA,Latvia,TWh,1965,2019,2021,pre_saturation,national,regional_csv
Renewable Power,MKD,North Macedonia,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,ITA,Italy,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,NOR,Norway,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,ROU,Romania,TWh,1965,2017,2021,pre_saturation,national,regional_csv
Renewable Power,IRL,Ireland,TWh,1965,2020,2021,pre_saturation,national,regional_csv
